,BA_DENSE_1,BA_DENSE_2,BA_DENSE_3,BA_LSTM_1,BA_LSTM_2,BA_LSTM_3,OF_DENSE_1,OF_DENSE_2,OF_DENSE_3,OF_LSTM_1,OF_LSTM_2,OF_LSTM_3,HF_DENSE_1,HF_DENSE_2,HF_DENSE_3,HF_LSTM_1,HF_LSTM_2,HF_LSTM_3
10,1.224947214126587,1.1342604160308838,1.0925538539886475,1.3367730379104614,1.9424868822097778,2.7159883975982666,1.2251386642456055,1.1754297018051147,1.1402158737182617,4.17305326461792,3.6304328441619873,3.404106378555298,1.1143368482589722,1.2340022325515747,1.1070811748504639,1.139785647392273,3.683818817138672,2.9779458045959473
11,1.224947214126587,1.1342604160308838,1.1219656467437744,1.1783101558685303,1.727729320526123,2.7974913120269775,1.2251386642456055,1.1754297018051147,1.1771273612976074,3.6403920650482178,2.546654224395752,3.559431314468384,1.1426889896392822,1.2340022325515747,1.1070811748504639,1.646796703338623,3.6496167182922363,3.024942398071289
12,1.209266185760498,1.1368398666381836,1.2247331142425537,1.3356642723083496,1.5162477493286133,3.09641695022583,1.1729367971420288,1.1032376289367676,0.9352151155471802,1.515202522277832,0.17068198323249817,6.106529712677002,1.1142096519470215,1.152647614479065,1.1072248220443726,0.5484414100646973,1.5227946043014526,2.9942538738250732
13,1.209266185760498,1.1368398666381836,1.212499737739563,0.9209544658660889,1.4234440326690674,3.0969161987304688,1.3136680126190186,1.1032376289367676,1.0862820148468018,0.8010268211364746,0.026361636817455292,6.25175142288208,0.8065399527549744,1.152647614479065,1.1072248220443726,0.7315083742141724,1.6796629428863525,2.9708213806152344
14,1.209266185760498,1.1368398666381836,1.4785431623458862,0.7064422965049744,1.6494972705841064,3.1015408039093018,1.1729367971420288,1.1032376289367676,1.043872594833374,0.4073457419872284,0.042124245315790176,6.4615797996521,0.9105738401412964,1.152647614479065,1.1072248220443726,1.1719814538955688,2.0328381061553955,2.5334928035736084
15,1.209266185760498,1.1368398666381836,1.1166000366210938,0.7782195806503296,1.5114995241165161,3.155806064605713,1.2104313373565674,1.1032376289367676,0.9679093956947327,1.5312362909317017,0.028619010001420975,5.78058385848999,0.6612278819084167,1.152647614479065,1.1072248220443726,1.1606756448745728,5.2334184646606445,2.42728328704834
16,1.209266185760498,1.1368398666381836,2.294144868850708,0.6010561585426331,1.6831140518188477,3.1407923698425293,1.1729367971420288,1.1032376289367676,0.9935398101806641,1.2108482122421265,0.04002959653735161,5.966734886169434,0.7758234143257141,1.152647614479065,1.1072248220443726,0.4968002438545227,6.618791103363037,2.537041664123535
17,1.209266185760498,1.1368398666381836,1.2730834484100342,1.1590309143066406,1.7533133029937744,3.121159553527832,1.1729367971420288,1.1032376289367676,1.026582956314087,0.7206834554672241,0.03038514405488968,6.083961009979248,0.7396268844604492,1.152647614479065,1.0973803997039795,0.16568520665168762,6.426492691040039,1.9823750257492065
18,1.209266185760498,1.1368398666381836,1.1955046653747559,1.3637607097625732,1.7977423667907715,3.125657320022583,1.1729367971420288,1.1032376289367676,0.9805862903594971,1.7143137454986572,0.06062675267457962,5.834208965301514,0.6197479963302612,1.152647614479065,1.1072248220443726,0.15394718945026398,6.22214937210083,1.7717490196228027
19,1.209266185760498,1.1368398666381836,1.480555534362793,1.1872608661651611,1.8134771585464478,3.11680269241333,1.1729367971420288,1.1032376289367676,0.9176352024078369,0.994859516620636,0.30435529351234436,5.298805236816406,0.7179317474365234,1.152647614479065,1.1072248220443726,1.1412136554718018,6.443002700805664,1.5744695663452148
20,1.209266185760498,1.1368398666381836,1.303008794784546,1.3260380029678345,1.7228745222091675,3.0560712814331055,1.2144474983215332,1.1032376289367676,1.0198725461959839,0.9662328958511353,0.4601992070674896,5.4477338790893555,0.8086187839508057,1.152647614479065,1.1072248220443726,0.2613065540790558,2.7680466175079346,1.3587634563446045
21,1.209266185760498,1.1368398666381836,1.1507834196090698,0.9121448993682861,1.4513905048370361,3.001408338546753,1.1729367971420288,1.1032376289367676,1.0633313655853271,1.0481590032577515,0.51498943567276,5.992265224456787,1.1142096519470215,1.152647614479065,1.1072248220443726,0.993817150592804,3.315908432006836,1.1770185232162476
